,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons,year,pros_clean,cons_clean,headline_clean,too_long_pro,too_long_con,Clean_pro_aspect_sentiments,Clean_con_aspect_sentiments,pro_aspect_sentiments,con_aspect_sentiments
45198,Grant-Thornton,2019-04-11, Tax Assistant,"Current Employee, less than 1 year","Northampton, England, England",3,2.0,1.0,,5.0,1.0,1.0,v,r,r,Good Company slow progress,Plenty opportunities in different departments,Company going through redundancies,2019,plenty opportunity in different department,company go through redundancy,good company slow progress,False,False,"{'growth': {1: 0.010347092, 2: 0.016529204, 3: 0.16256152, 4: 0.49883282, 5: 0.3117293, 'label': 4}}","{'job security': {1: 0.5898205, 2: 0.2502223, 3: 0.11214639, 4: 0.032724645, 5: 0.015086262, 'label': 1}}",{},{}
83777,Network-Rail,2020-10-12, Analyst Graduate Programmer,Current Employee,"London, England, England",5,,,,,,,o,o,o,Graduate,Fun team in supply chain,Office is far from London,2020,fun team in supply chain,office be far from london,graduate,False,False,"{'teamwork & collaboration': {1: 0.0043589524, 2: 0.0066941087, 3: 0.10718755, 4: 0.51554316, 5: 0.36621618, 'label': 4}}",{},"{'teamwork & collaboration': {1: 0.0043589524, 2: 0.0066941087, 3: 0.10718755, 4: 0.51554316, 5: 0.36621618, 'label': 4}}",{}
125297,XPO-Logistics,2018-01-10, Site Manager,"Current Employee, more than 10 years","Birmingham, England, England",5,4.0,5.0,,5.0,5.0,5.0,v,v,v,Recruitment Team,"Great experience using the XPO recruitment team and recruitment advisor Natalie Tompkins. 5 colleagues recruited at all levels and all progressing well. Process was de-stressed by the team doing the advertising, collating and vetting applications, arranging interview times and providing feedback to interviewees. All I had to do was interview and provide feedback etc.
Definitely the way forward!",Important that we provide the correct information and market testing for salaries and job specs to get correct candidates 1st time around.,2018,great experience use the xpo recruitment team and recruitment advisor natalie tompkin 5 colleague recruit at all level and all progress well process be de stress by the team do the advertising collating and vetting application arrange interview time and provide feedback to interviewee all I have to do be interview and provide feedback etc definitely the way forward,important that we provide the correct information and market testing for salary and job spec to get correct candidate 1st time around,recruitment team,False,False,"{'growth': {1: 0.009061858, 2: 0.009828612, 3: 0.04143656, 4: 0.30535513, 5: 0.6343179, 'label': 5}, 'stress & pressure': {1: 0.013452615, 2: 0.013621538, 3: 0.049301837, 4: 0.30303547, 5: 0.62058854, 'label': 5}, 'performance feedback': {1: 0.012422387, 2: 0.013743484, 3: 0.055033084, 4: 0.32814932, 5: 0.5906517, 'label': 5}, 'teamwork & collaboration': {1: 0.008302856, 2: 0.009797589, 3: 0.04973646, 4: 0.35011297, 5: 0.58205014, 'label': 5}}","{'pay': {1: 0.30300128, 2: 0.23149817, 3: 0.22728775, 4: 0.14839822, 5: 0.08981456, 'label': 1}}","{'growth': {1: 0.008736329, 2: 0.011462724, 3: 0.04091549, 4: 0.33185208, 5: 0.6070334, 'label': 5}, 'stress & pressure': {1: 0.00962528, 2: 0.012414679, 3: 0.04798701, 4: 0.3594427, 5: 0.57053035, 'label': 5}, 'people': {1: 0.0077450275, 2: 0.009766432, 3: 0.04125402, 4: 0.3496856, 5: 0.5915489, 'label': 5}, 'performance feedback': {1: 0.010056634, 2: 0.01379897, 3: 0.054456975, 4: 0.38553932, 5: 0.5361481, 'label': 5}, 'teamwork & collaboration': {1: 0.0069765616, 2: 0.010074243, 3: 0.048367728, 4: 0.39343476, 5: 0.5411467, 'label': 5}}",{}
84312,New-Look,2020-10-21, Sales Assistant,Former Employee,"Brighton, England, England",3,,,,,,,o,o,o,Fast paced yet good benefits,"Great discount on clothing 
flexible shift patterns",Very fast paced and can be stressful,2020,great discount on clothing flexible shift pattern,very fast pace and can be stressful,fast pace yet good benefit,False,False,"{'flexibility': {1: 0.010075717, 2: 0.015280078, 3: 0.10877587, 4: 0.47354895, 5: 0.3923194, 'label': 4}}","{'stress & pressure': {1: 0.2200903, 2: 0.2682774, 3: 0.23055263, 4: 0.16681248, 5: 0.11426721, 'label': 2}}","{'flexibility': {1: 0.010532858, 2: 0.015997557, 3: 0.11128228, 4: 0.47150597, 5: 0.39068133, 'label': 4}}","{'stress & pressure': {1: 0.16745959, 2: 0.22219412, 3: 0.22814988, 4: 0.21768203, 5: 0.16451442, 'label': 3}}"
65280,LV,2015-03-16, Head of Department,"Current Employee, more than 1 year","Bournemouth, England, England",3,3.0,2.0,,3.0,4.0,2.0,x,x,x,Schizophrenic values and behaviours,"Work life balance is better than most, the head office is close to the sea and rewards are pretty generous","Whilst there are many wonderful and kind colleagues, there are equal amounts of bullies, empire builders and narcissists who are allowed to continue unchallenged and often encouraged. Whilst collaboration is often talked about the silos are massive, with lots of duplication of effort. Whilst change and transformation is heralded, there are normally too many egos involved for a decision to be made.",2015,work life balance be well than most the head office be close to the sea and reward be pretty generous,whilst there be many wonderful and kind colleague there be equal amount of bully empire builder and narcissist who be allow to continue unchallenged and often encourage whilst collaboration be often talk about the silo be massive with lot of duplication of effort whilst change and transformation be herald there be normally too many ego involve for a decision to be make,schizophrenic value and behaviour,False,False,"{'work-life balance': {1: 0.0045549204, 2: 0.011232032, 3: 0.16579835, 4: 0.5397053, 5: 0.27870944, 'label': 4}}","{'teamwork & collaboration': {1: 0.28864256, 2: 0.4481617, 3: 0.19827728, 4: 0.050882243, 5: 0.014036215, 'label': 2}}","{'work-life balance': {1: 0.0027575945, 2: 0.007625673, 3: 0.12652682, 4: 0.5568017, 5: 0.30628824, 'label': 4}, 'benefits': {1: 0.0031324164, 2: 0.009124606, 3: 0.15668052, 4: 0.5789911, 5: 0.25207135, 'label': 4}}","{'people': {1: 0.30965742, 2: 0.5402413, 3: 0.12559962, 4: 0.01946006, 5: 0.005041578, 'label': 2}, 'teamwork & collaboration': {1: 0.2615682, 2: 0.55794895, 3: 0.15111865, 4: 0.024155594, 5: 0.0052086124, 'label': 2}}"
88491,Primark,2015-08-31, Retail Assistant,"Current Employee, more than 3 years","Stratford, London, England, England",2,1.0,2.0,,2.0,1.0,2.0,x,x,x,Increase our wage,"Meeting different  kind of people, making new friends, meeting different customers from around the world. Working at Primark, definitely you can improve your skills when dealing with people.
Primark also makes you more aware of how you should treat the members of staff from different stores, also to be tidy when shopping in other stores.","The managers ask to much from the staff,they expect you to do a job which is for 2-3 people alone, some of the managers are actually very rude, they never help,  always have short staff, therefore the management becomes agitated and start pushing the staff for extra work, they never let you go home on time, always expect to stay over your shift, low wage.",2015,meet different kind of people make new friend meet different customer from around the world work at primark definitely you can improve your skill when deal with people primark also make you more aware of how you should treat the member of staff from different store also to be tidy when shop in other store,the manager ask to much from the staff they expect you to do a job which be for 2 3 people alone some of the manager be actually very rude they never help always have short staff therefore the management become agitated and start push the staff for extra work they never let you go home on time always expect to stay over your shift low wage,increase our wage,False,False,"{'people': {1: 0.010175925, 2: 0.01844675, 3: 0.14413145, 4: 0.49594897, 5: 0.3312969, 'label': 4}}","{'pay': {1: 0.6193867, 2: 0.29275808, 3: 0.0667929, 4: 0.013506675, 5: 0.0075556836, 'label': 1}, 'management': {1: 0.59683746, 2: 0.31118187, 3: 0.07092979, 4: 0.013752357, 5: 0.0072984723, 'label': 1}, 'flexibility': {1: 0.50723743, 2: 0.37142807, 3: 0.09491364, 4: 0.01813381, 5: 0.008286976, 'label': 1}, 'people': {1: 0.6106257, 2: 0.30173206, 3: 0.06599395, 4: 0.013839817, 5: 0.007808486, 'label': 1}}","{'people': {1: 0.002477798, 2: 0.0053172074, 3: 0.06725655, 4: 0.53658456, 5: 0.38836387, 'label': 4}}","{'pay': {1: 0.5943973, 2: 0.32992676, 3: 0.05728901, 4: 0.011988313, 5: 0.0063986112, 'label': 1}, 'management': {1: 0.5704745, 2: 0.35171255, 3: 0.060355965, 4: 0.011615699, 5: 0.005841271, 'label': 1}, 'flexibility': {1: 0.47382826, 2: 0.40708634, 3: 0.08987522, 4: 0.020088539, 5: 0.009121641, 'label': 1}, 'people': {1: 0.59580654, 2: 0.33393505, 3: 0.052729372, 4: 0.011256655, 5: 0.0062724105, 'label': 1}}"
61856,John-Lewis-and-Partners,2021-02-15, Anonymous Employee,Former Employee,"London, England, England",3,,,,,,,o,o,o,Supermarket assistant,"Good pay, good breaks, good coworkers","Tiring, life sucking, boring, repetitive",2021,good pay good break good coworker,tiring life sucking boring repetitive,supermarket assistant,False,False,"{'pay': {1: 0.020753818, 2: 0.023662899, 3: 0.1733209, 4: 0.45000234, 5: 0.33226004, 'label': 4}, 'people': {1: 0.029547086, 2: 0.030183256, 3: 0.18678029, 4: 0.42912295, 5: 0.32436645, 'label': 4}}",{},"{'pay': {1: 0.013096798, 2: 0.014738931, 3: 0.120190844, 4: 0.44096836, 5: 0.41100502, 'label': 4}, 'people': {1: 0.01398629, 2: 0.015154176, 3: 0.12165886, 4: 0.43654475, 5: 0.4126559, 'label': 4}}",{}
51847,Holiday-Inn,2017-03-15, Housekeeping Assistant,"Former Employee, more than 3 years","Hemel Hempstead, England, England",5,2.0,5.0,,4.0,5.0,4.0,v,r,r,Great place to work,"-Great team, everyone is friendly.
-Very together
-Free lunch","-As housekeeping assistant its very hard, you need a lot of strength to complete each room under allocated time",2017,-great team everyone be friendly -very together -free lunch,-as housekeep assistant its very hard you need a lot of strength to complete each room under allocate time,great place to work,False,False,"{'benefits': {1: 0.0073506613, 2: 0.008818702, 3: 0.101594605, 4: 0.44685495, 5: 0.43538105, 'label': 4}, 'teamwork & collaboration': {1: 0.007922703, 2: 0.009903281, 3: 0.10768011, 4: 0.45766813, 5: 0.41682583, 'label': 4}}",{},"{'benefits': {1: 0.0047162944, 2: 0.006308277, 3: 0.087260656, 4: 0.4799185, 5: 0.4217963, 'label': 4}, 'teamwork & collaboration': {1: 0.004533081, 2: 0.006202366, 3: 0.08097971, 4: 0.47620454, 5: 0.4320802, 'label': 4}}",{}
117380,University-of-Newcastle-UK,2021-04-07, Research Associate,Current Employee,"Newcastle upon Tyne, England, England",5,,,,,,,o,o,o,Nice place to work!,Excellent facilities & highly motivated peers. Very good work life balance.,Nothing mentionable as such apart from the weather.,2021,excellent facility highly motivated peer very good work life balance,nothing mentionable as such apart from the weather,nice place to work,False,False,"{'work-life balance': {1: 0.002513592, 2: 0.002213362, 3: 0.017842608, 4: 0.27314946, 5: 0.70428103, 'label': 5}}",{},"{'work-life balance': {1: 0.0014516503, 2: 0.0014297989, 3: 0.012383741, 4: 0.22837263, 5: 0.7563622, 'label': 5}}",{}
66215,Lidl,2017-02-18, Assistant Manager,Former Employee,"Plymouth, England, England",1,1.0,1.0,,2.0,1.0,3.0,x,x,x,More to life.,"Opportunity for promotion. (If you're a part of the click)
Money is good if you're PH not salary. 
Great customers.","50+ hours a week.
The money looks good on paper but when you divide salary by hours worked per week in some instances you're on less than customer assistants. 
Thier payroll system is very poor and I am yet to have expenses paid back to me. 
Poor communication between departments.
If you're happy to sign your life away and do the crazy amount of hours they expect of you (very unsociable hours too) then crack on but in my experience this wasn't for me; I've since found work that is 52 less hours contracted a month (not including the other time expecting of you) and the money is better. There really is more to life than this, do not be fooled.",2017,opportunity for promotion if you be a part of the click money be good if you be ph not salary great customer,50 + hour a week the money look good on paper but when you divide salary by hour work per week in some instance you be on less than customer assistant thier payroll system be very poor and I be yet to have expense pay back to I poor communication between department if you be happy to sign your life away and do the crazy amount of hour they expect of you very unsociable hour too then crack on but in my experience this be not for I I have since find work that be 52 less hour contract a month not include the other time expect of you and the money be well there really be more to life than this do not be fool,more to life,False,False,"{'pay': {1: 0.038198244, 2: 0.051669676, 3: 0.24297954, 4: 0.43546867, 5: 0.23168387, 'label': 4}, 'growth': {1: 0.02834078, 2: 0.044275764, 3: 0.23584607, 4: 0.45722878, 5: 0.23430857, 'label': 4}}","{'pay': {1: 0.58298826, 2: 0.31229994, 3: 0.0883491, 4: 0.012007655, 5: 0.004355081, 'label': 1}}","{'pay': {1: 0.011237187, 2: 0.018961575, 3: 0.14145014, 4: 0.4886412, 5: 0.33970985, 'label': 4}, 'growth': {1: 0.010318478, 2: 0.018799378, 3: 0.1417122, 4: 0.49364695, 5: 0.33552292, 'label': 4}}","{'pay': {1: 0.45488945, 2: 0.44891942, 3: 0.08604001, 4: 0.0078760665, 5: 0.0022749926, 'label': 1}, 'work-life balance': {1: 0.39908957, 2: 0.48281792, 3: 0.10548876, 4: 0.009816056, 5: 0.0027877237, 'label': 2}}"
17651,Barclays,2020-10-14, Senior Development Engineer,Former Employee,"Manchester, England, England",4,,,,,,,o,o,o,Good place to work,A very good work environment,Sometimes it gets boring when things get stuck in red tape regulations,2020,a very good work environment,sometimes it get boring when thing get stuck in red tape regulation,good place to work,False,False,"{'culture': {1: 0.004213907, 2: 0.0073700785, 3: 0.10564156, 4: 0.54992056, 5: 0.33285394, 'label': 4}}",{},"{'culture': {1: 0.004213907, 2: 0.0073700785, 3: 0.10564156, 4: 0.54992056, 5: 0.33285394, 'label': 4}}",{}
886,ALDI,2021-05-26, Store Assistant,Current Employee,"Sunderland, North East England, England, England",4,,,,,,,o,o,o,Store Assistant,"Supportive workplace and organisation, Lots of career progression opportunities, ever growing organisation",Difficult to get a job at this organisation.,2021,supportive workplace and organisation lot of career progression opportunity ever grow organisation,difficult to get a job at this organisation,store assistant,False,False,"{'growth': {1: 0.005425632, 2: 0.008014979, 3: 0.097015984, 4: 0.47572622, 5: 0.41381723, 'label': 4}, 'tools & resources': {1: 0.0056327726, 2: 0.008587757, 3: 0.10177291, 4: 0.4823483, 5: 0.4016583, 'label': 4}, 'teamwork & collaboration': {1: 0.0053419396, 2: 0.008227641, 3: 0.1067923, 4: 0.49352035, 5: 0.38611782, 'label': 4}}",{},"{'growth': {1: 0.0047010886, 2: 0.008148947, 3: 0.108135335, 4: 0.5248354, 5: 0.3541792, 'label': 4}, 'tools & resources': {1: 0.0045570796, 2: 0.008281526, 3: 0.11154829, 4: 0.5321538, 5: 0.3434593, 'label': 4}, 'teamwork & collaboration': {1: 0.0043547447, 2: 0.008091652, 3: 0.12156275, 4: 0.54998183, 5: 0.31600904, 'label': 4}}",{}
30587,Compass-Group,2017-03-23, Anonymous Employee,Current Employee,"London, England, England",1,3.0,3.0,,3.0,3.0,2.0,x,r,r,Very disappointed and underappreciated.,Pay is always on time. Opportunities to learn more. Some great staff working for Compass. Lots of other jobs available within the company.,Extreme lack of communication. Emails phone calls and other forms of communication fall on death ears making the job more stressful and difficult. The pay is low for what is expected of you.,2017,pay be always on time opportunity to learn more some great staff work for compass lot of other job available within the company,extreme lack of communication email phone call and other form of communication fall on death ear make the job more stressful and difficult the pay be low for what be expect of you,very disappointed and underappreciated,False,False,"{'pay': {1: 0.018577665, 2: 0.03494646, 3: 0.2715482, 4: 0.45686412, 5: 0.21806361, 'label': 4}, 'growth': {1: 0.015719067, 2: 0.03140831, 3: 0.25049382, 4: 0.47060412, 5: 0.23177472, 'label': 4}}","{'pay': {1: 0.6493822, 2: 0.28882453, 3: 0.053477425, 4: 0.006053305, 5: 0.0022625052, 'label': 1}, 'stress & pressure': {1: 0.6469168, 2: 0.2901704, 3: 0.05178215, 4: 0.007736277, 5: 0.0033944037, 'label': 1}}","{'pay': {1: 0.006418595, 2: 0.018186122, 3: 0.1967315, 4: 0.5399626, 5: 0.23870116, 'label': 4}}","{'pay': {1: 0.6540871, 2: 0.3080493, 3: 0.034608632, 4: 0.0023387298, 5: 0.00091618905, 'label': 1}, 'stress & pressure': {1: 0.64763683, 2: 0.31551048, 3: 0.032927953, 4: 0.0026996604, 5: 0.0012250661, 'label': 1}}"
101635,Sodexo,2021-01-09, Covid Test Operative,Current Employee,"Leeds, England, England",5,,,,,,,o,o,o,Test operative at Leeds test centre,Good pay and flexible hours.,Can be hard to communicate issues with upper management.,2021,good pay and flexible hour,can be hard to communicate issue with upper management,test operative at leed test centre,False,False,"{'pay': {1: 0.006905959, 2: 0.010668431, 3: 0.12749656, 4: 0.49826795, 5: 0.35666108, 'label': 4}, 'flexibility': {1: 0.0072273104, 2: 0.012560383, 3: 0.13724218, 4: 0.5197593, 5: 0.32321078, 'label': 4}}","{'management': {1: 0.40212977, 2: 0.3295101, 3: 0.20067069, 4: 0.050855495, 5: 0.016833933, 'label': 1}}","{'pay': {1: 0.0040422278, 2: 0.0066464334, 3: 0.10290824, 4: 0.5054662, 5: 0.38093683, 'label': 4}, 'work-life balance': {1: 0.0032087816, 2: 0.00633337, 3: 0.12815988, 4: 0.55577826, 5: 0.30651975, 'label': 4}, 'flexibility': {1: 0.004244694, 2: 0.007893345, 3: 0.11195989, 4: 0.5295303, 5: 0.34637183, 'label': 4}}","{'management': {1: 0.3544629, 2: 0.36882114, 3: 0.21626884, 4: 0.046457604, 5: 0.013989596, 'label': 2}}"
7448,Aon,2020-08-30, Global Benefits Consultant,"Current Employee, more than 5 years","London, England, England",4,3.0,3.0,,3.0,2.0,3.0,v,r,r,Aon summary,"Good team, flexibility, consistency, room for development, role can involve some travel","Poor salary, no discussion or clarity over pay bands, very busy role with minimal support",2020,good team flexibility consistency room for development role can involve some travel,poor salary no discussion or clarity over pay band very busy role with minimal support,aon summary,False,False,"{'work-life balance': {1: 0.0065764333, 2: 0.019229421, 3: 0.278895, 4: 0.5636684, 5: 0.13163075, 'label': 4}, 'growth': {1: 0.0065510226, 2: 0.017754111, 3: 0.24478438, 4: 0.5784605, 5: 0.15245, 'label': 4}, 'travel': {1: 0.006331257, 2: 0.017283157, 3: 0.26125002, 4: 0.5739989, 5: 0.14113662, 'label': 4}, 'flexibility': {1: 0.008924605, 2: 0.025058767, 3: 0.27920967, 4: 0.547046, 5: 0.139761, 'label': 4}, 'job role clarity': {1: 0.007651521, 2: 0.0222489, 3: 0.29771325, 4: 0.54724747, 5: 0.12513888, 'label': 4}, 'teamwork & collaboration': {1: 0.005983322, 2: 0.016578177, 3: 0.24729353, 4: 0.58480644, 5: 0.14533852, 'label': 4}}","{'pay': {1: 0.66621035, 2: 0.2789313, 3: 0.049083862, 4: 0.004396265, 5: 0.0013781094, 'label': 1}, 'job role clarity': {1: 0.5783389, 2: 0.34366965, 3: 0.07021223, 4: 0.0062108366, 5: 0.0015684207, 'label': 1}, 'tools & resources': {1: 0.652162, 2: 0.2947165, 3: 0.04761923, 4: 0.0042360243, 5: 0.0012662375, 'label': 1}}","{'work-life balance': {1: 0.003294514, 2: 0.009061802, 3: 0.19224748, 4: 0.62037814, 5: 0.175018, 'label': 4}, 'growth': {1: 0.0035891687, 2: 0.008971415, 3: 0.16634014, 4: 0.61873674, 5: 0.20236254, 'label': 4}, 'travel': {1: 0.0033533094, 2: 0.008447779, 3: 0.17502508, 4: 0.61933106, 5: 0.19384278, 'label': 4}, 'flexibility': {1: 0.004240337, 2: 0.011175878, 3: 0.18706633, 4: 0.6090569, 5: 0.1884606, 'label': 4}, 'job role clarity': {1: 0.003992789, 2: 0.011783334, 3: 0.22095498, 4: 0.60382307, 5: 0.15944578, 'label': 4}, 'teamwork & collaboration': {1: 0.0032154892, 2: 0.008135188, 3: 0.16683525, 4: 0.62942845, 5: 0.19238564, 'label': 4}}","{'pay': {1: 0.67948824, 2: 0.27436638, 3: 0.04136925, 4: 0.003565571, 5: 0.0012105606, 'label': 1}, 'job role clarity': {1: 0.57546884, 2: 0.35529643, 3: 0.0628588, 4: 0.005035757, 5: 0.0013400948, 'label': 1}, 'tools & resources': {1: 0.65588874, 2: 0.29685992, 3: 0.042432576, 4: 0.0036354507, 5: 0.0011833077, 'label': 1}}"
80164,NHS,2020-06-06, Head of Programmes,Former Employee,"London, England, England",4,4.0,4.0,,5.0,3.0,4.0,o,o,o,Interesting work,"Interesting work, decent flexibility, fun colleagues",Can be bureaucratic and political,2020,interesting work decent flexibility fun colleague,can be bureaucratic and political,interesting work,False,False,"{'work-life balance': {1: 0.0041206004, 2: 0.010924886, 3: 0.23225313, 4: 0.59489715, 5: 0.15780427, 'label': 4}, 'flexibility': {1: 0.003960441, 2: 0.009099854, 3: 0.19205624, 4: 0.6157751, 5: 0.1791084, 'label': 4}}",{},"{'work-life balance': {1: 0.003106802, 2: 0.007340609, 3: 0.18506284, 4: 0.61780125, 5: 0.1866885, 'label': 4}, 'flexibility': {1: 0.0032253715, 2: 0.006683386, 3: 0.15018371, 4: 0.6246368, 5: 0.21527068, 'label': 4}, 'people': {1: 0.0027905127, 2: 0.005403499, 3: 0.13679726, 4: 0.61699104, 5: 0.23801766, 'label': 4}}",{}
16421,Barclays,2016-12-01, ,"Former Employee, less than 1 year","London, England, England",4,4.0,5.0,,4.0,3.0,5.0,v,o,o,Work Experience,Barclays Bank were great with customer service and making sure that all the needs and wants of customers was met and was dedicated to solving any problems.,Barclays bank was a very good place to intern and gain experience so I do not think I can explicitly talk about the pay. It was a great place to work.,2016,barclays bank be great with customer service and make sure that all the need and want of customer be meet and be dedicate to solve any problem,barclays bank be a very good place to intern and gain experience so I do not think I can explicitly talk about the pay it be a great place to work,work experience,False,False,{},"{'pay': {1: 0.1780943, 2: 0.22523199, 3: 0.29853278, 4: 0.20093709, 5: 0.097203866, 'label': 3}}",{},"{'pay': {1: 0.19769692, 2: 0.23367225, 3: 0.2613188, 4: 0.19148247, 5: 0.11582952, 'label': 3}}"
83769,Network-Rail,2020-10-01, Public Affairs Manager,"Current Employee, less than 1 year","London, England, England",4,3.0,4.0,4.0,5.0,5.0,3.0,v,r,v,Network Rail Communications,"Good flexibility, opportunity to progress and divert in to different areas of the business. Good annual leave benefit, bonus scheme and annual pay increase. Plus subsidized travel.",No cons to note for this role or organisation.,2020,good flexibility opportunity to progress and divert in to different area of the business good annual leave benefit bonus scheme and annual pay increase plus subsidize travel,no con to note for this role or organisation,network rail communication,False,False,"{'pay': {1: 0.0048310813, 2: 0.008616445, 3: 0.13040987, 4: 0.56382525, 5: 0.29231733, 'label': 4}, 'work-life balance': {1: 0.0041748877, 2: 0.008084483, 3: 0.14508247, 4: 0.5843011, 5: 0.25835708, 'label': 4}, 'growth': {1: 0.004188278, 2: 0.0075600143, 3: 0.119709976, 4: 0.5672204, 5: 0.30132133, 'label': 4}, 'travel': {1: 0.0043049864, 2: 0.007646131, 3: 0.13029651, 4: 0.5728332, 5: 0.28491923, 'label': 4}, 'flexibility': {1: 0.0054489607, 2: 0.010228906, 3: 0.14392677, 4: 0.56219566, 5: 0.27819976, 'label': 4}}","{'job role clarity': {1: 0.36060962, 2: 0.30948952, 3: 0.2332445, 4: 0.070828475, 5: 0.025827855, 'label': 1}}","{'pay': {1: 0.0027129673, 2: 0.004555459, 3: 0.081887, 4: 0.5629852, 5: 0.3478594, 'label': 4}, 'work-life balance': {1: 0.0021618286, 2: 0.0038039892, 3: 0.07977974, 4: 0.5799639, 5: 0.33429053, 'label': 4}, 'growth': {1: 0.0023643891, 2: 0.0038517122, 3: 0.06976208, 4: 0.5516802, 5: 0.37234154, 'label': 4}, 'travel': {1: 0.0024217642, 2: 0.0040032514, 3: 0.079312876, 4: 0.56495965, 5: 0.34930247, 'label': 4}, 'flexibility': {1: 0.0029978098, 2: 0.0051817666, 3: 0.08322437, 4: 0.557954, 5: 0.35064203, 'label': 4}}","{'job role clarity': {1: 0.3794947, 2: 0.32495958, 3: 0.21393399, 4: 0.05994704, 5: 0.021664701, 'label': 1}}"
36330,Department-for-Work-And-Pensions,2018-05-11, Executive Officer,"Current Employee, more than 1 year","Brighton, England, England",3,4.0,4.0,,3.0,3.0,3.0,o,o,o,UK Civil Service,"Generally people focused organisation, very large department with good pension and pleasant staff. Well established work areas.","As with all UK government departments, budgets for staff development are minimal and recruitment opportunities depend on the locality. Offices are generally very old and ill equipped unless working in roles based in central London.",2018,generally people focus organisation very large department with good pension and pleasant staff well establish work area,as with all uk government department budget for staff development be minimal and recruitment opportunity depend on the locality office be generally very old and ill equipped unless work in role base in central london,uk civil service,False,False,"{'benefits': {1: 0.010013661, 2: 0.027863158, 3: 0.29134265, 4: 0.5241194, 5: 0.14666116, 'label': 4}, 'people': {1: 0.012602962, 2: 0.033138666, 3: 0.29534006, 4: 0.5041488, 5: 0.15476957, 'label': 4}}","{'growth': {1: 0.28986832, 2: 0.46102864, 3: 0.21424438, 4: 0.029159553, 5: 0.0056990874, 'label': 2}, 'job role clarity': {1: 0.30607232, 2: 0.43414855, 3: 0.2198557, 4: 0.033260994, 5: 0.006662482, 'label': 2}}","{'benefits': {1: 0.0042087967, 2: 0.011769578, 3: 0.19141309, 4: 0.59603554, 5: 0.19657294, 'label': 4}, 'people': {1: 0.0051851543, 2: 0.014378394, 3: 0.19662891, 4: 0.5759355, 5: 0.20787203, 'label': 4}}","{'growth': {1: 0.25437623, 2: 0.55313253, 3: 0.17700738, 4: 0.0133192595, 5: 0.0021646142, 'label': 2}, 'job role clarity': {1: 0.2567415, 2: 0.5254901, 3: 0.19735415, 4: 0.017541086, 5: 0.002873124, 'label': 2}}"
31239,Covea-Insurance,2020-07-29, Scrum Master,"Current Employee, less than 1 year","Halifax, England, England",5,5.0,5.0,,5.0,5.0,,v,o,v,Great Company,"A lot of great people to work with, very friendly. Also a lot to learn from people as well.
During the Covid-19 lock down they've done everything to protect their staff and always have done the right thing.
A lot of learning opportunities (I join all of them) with a great knowledge sharing mentality.","While on boarding remote it was quite difficult because I never made it to the office or meet my team, what made it more difficult which is the con part is the amount of acronyms and terminology which is used throughout. It's like a competition who can abbreviate the most words or names. Drives me crazy.",2020,a lot of great people to work with very friendly also a lot to learn from people as well during the covid-19 lock down they have do everything to protect their staff and always have do the right thing a lot of learn opportunity I join all of they with a great knowledge sharing mentality,while on boarding remote it be quite difficult because I never make it to the office or meet my team what make it more difficult which be the con part be the amount of acronym and terminology which be use throughout it be like a competition who can abbreviate the most word or name drive I crazy,great company,False,False,"{'growth': {1: 0.0047987574, 2: 0.00781217, 3: 0.070600964, 4: 0.4310709, 5: 0.4857172, 'label': 5}, 'people': {1: 0.0047283596, 2: 0.0073742266, 3: 0.0699169, 4: 0.42549282, 5: 0.4924877, 'label': 5}}","{'remote work': {1: 0.38068074, 2: 0.37757203, 3: 0.1803427, 4: 0.04751987, 5: 0.013884709, 'label': 1}, 'teamwork & collaboration': {1: 0.30679655, 2: 0.4018953, 3: 0.2175868, 4: 0.05889717, 5: 0.014824161, 'label': 2}}","{'people': {1: 0.003072877, 2: 0.0053679287, 3: 0.043035407, 4: 0.4097897, 5: 0.5387341, 'label': 5}}","{'remote work': {1: 0.36215115, 2: 0.38574195, 3: 0.14648172, 4: 0.07078189, 5: 0.03484328, 'label': 2}, 'teamwork & collaboration': {1: 0.3634484, 2: 0.41689187, 3: 0.136323, 4: 0.05669691, 5: 0.026639735, 'label': 2}}"
