,firm,pros,cons,pros_clean_min,pros_clean_lemma_only,pros_clean_with_stopwords,pros_clean_with_symspell,cons_clean_min,cons_clean_lemma_only,cons_clean_with_stopwords,cons_clean_with_symspell,min_pro_aspect_sentiments,lemma_pro_aspect_sentiments,Stopword_pro_aspect_sentiments,Symspell_pro_aspect_sentiments,min_con_aspect_sentiments,lemma_con_aspect_sentiments,Stopword_con_aspect_sentiments,Symspell_con_aspect_sentiments
83709,Virgin Media,Nothing is good in the job,"Working 12 hour shifts 
12/13 jobs a day 40 min a job if you go over time you’ll be doing overtime - nobody to help you",Nothing is good in the job,nothing be good in the job,good job,good job,Working 12 hour shifts  12/13 jobs a day 40 min a job if you go over time youll be doing overtime - nobody to help you,work 12 hour shift 12/13 job a day 40 min a job if you go over time you ’ll be do overtime nobody to help you,work 12 hour shift 12/13 job day 40 min job time overtime help,work hour shift job day min job time overtime help,{},{},{},{},"{'work-life balance': {1: 0.6163646, 2: 0.26091048, 3: 0.08792311, 4: 0.022714067, 5: 0.012087719, 'label': 1}}","{'work-life balance': {1: 0.49462146, 2: 0.24831936, 3: 0.15198457, 4: 0.0655338, 5: 0.03954081, 'label': 1}}","{'work-life balance': {1: 0.37502387, 2: 0.25171778, 3: 0.20126154, 4: 0.10887679, 5: 0.06311998, 'label': 1}}","{'work-life balance': {1: 0.31866252, 2: 0.27109227, 3: 0.24258107, 4: 0.1126163, 5: 0.055047825, 'label': 1}}"
82609,Valuation Office Agency,"Flexibility, hardworking members of staff and training opportunities.","Unrealistic targets
Lack of strategic direction
Ongoing IT issues 
Undervalued skill and experience in terms of pay.","Flexibility, hardworking members of staff and training opportunities.",flexibility hardworke member of staff and training opportunity,flexibility hardworke member staff training opportunity,flexibility hardworke member staff train opportunity,Unrealistic targets Lack of strategic direction Ongoing IT issues  Undervalued skill and experience in terms of pay.,unrealistic target lack of strategic direction ongoing it issue undervalue skill and experience in term of pay,unrealistic target lack strategic direction ongoing issue undervalue skill experience term pay,unrealistic target lack strategic direction ongoing issue undervalue skill experience term pay,"{'growth & learning': {1: 0.0050799754, 2: 0.0096043805, 3: 0.13621798, 4: 0.5380871, 5: 0.31101057, 'label': 4}, 'hr & recruitment': {1: 0.006911623, 2: 0.014041445, 3: 0.14958248, 4: 0.5294577, 5: 0.30000675, 'label': 4}, 'work-life balance': {1: 0.0064073256, 2: 0.014841656, 3: 0.18851395, 4: 0.5488131, 5: 0.241424, 'label': 4}}","{'growth & learning': {1: 0.006876058, 2: 0.011859508, 3: 0.1651065, 4: 0.5405987, 5: 0.27555925, 'label': 4}, 'hr & recruitment': {1: 0.009930528, 2: 0.01800368, 3: 0.19466537, 4: 0.5246962, 5: 0.25270426, 'label': 4}, 'work-life balance': {1: 0.008672203, 2: 0.018488739, 3: 0.23893544, 4: 0.53266746, 5: 0.20123617, 'label': 4}}","{'growth & learning': {1: 0.0069815456, 2: 0.012053053, 3: 0.17056341, 4: 0.5419968, 5: 0.2684052, 'label': 4}, 'hr & recruitment': {1: 0.010544617, 2: 0.019060254, 3: 0.20346764, 4: 0.52270275, 5: 0.24422467, 'label': 4}, 'work-life balance': {1: 0.009028092, 2: 0.018906852, 3: 0.24533144, 4: 0.53062385, 5: 0.19610977, 'label': 4}}","{'growth & learning': {1: 0.008208492, 2: 0.014600057, 3: 0.18130012, 4: 0.5312006, 5: 0.2646907, 'label': 4}, 'hr & recruitment': {1: 0.012819287, 2: 0.023901088, 3: 0.21785016, 4: 0.50655806, 5: 0.23887135, 'label': 4}, 'work-life balance': {1: 0.01096402, 2: 0.02399297, 3: 0.2659336, 4: 0.5134027, 5: 0.18570672, 'label': 4}}","{'pay': {1: 0.5148205, 2: 0.40584943, 3: 0.0721037, 4: 0.0057084784, 5: 0.001517906, 'label': 1}, 'performance feedback': {1: 0.4656726, 2: 0.43754575, 3: 0.087959506, 4: 0.0071871965, 5: 0.0016348563, 'label': 1}}","{'pay': {1: 0.60563844, 2: 0.31431535, 3: 0.069274604, 4: 0.008197581, 5: 0.0025740636, 'label': 1}}","{'pay': {1: 0.6120806, 2: 0.29562166, 3: 0.07947373, 4: 0.009920155, 5: 0.0029039378, 'label': 1}}","{'pay': {1: 0.6120806, 2: 0.29562166, 3: 0.07947373, 4: 0.009920155, 5: 0.0029039378, 'label': 1}}"
31384,Department for Work And Pensions,"pension, overtime, development and training opportunities, flexi",None i can think of at present,"pension, overtime, development and training opportunities, flexi",pension overtime development and training opportunity flexi,pension overtime development training opportunity flexi,pension overtime development train opportunity flexi,None i can think of at present,none I can think of at present,think present,think present,"{'perks & benefits': {1: 0.010415454, 2: 0.016606586, 3: 0.16520119, 4: 0.5002304, 5: 0.30754638, 'label': 4}, 'growth & learning': {1: 0.00899142, 2: 0.013946283, 3: 0.14754172, 4: 0.4919985, 5: 0.33752212, 'label': 4}, 'hr & recruitment': {1: 0.014755048, 2: 0.022450058, 3: 0.17169848, 4: 0.46844995, 5: 0.32264644, 'label': 4}, 'work-life balance': {1: 0.011366649, 2: 0.020766966, 3: 0.20076819, 4: 0.5028176, 5: 0.26428062, 'label': 4}}","{'perks & benefits': {1: 0.010254937, 2: 0.015809715, 3: 0.18339473, 4: 0.51288736, 5: 0.2776533, 'label': 4}, 'growth & learning': {1: 0.008092736, 2: 0.012279103, 3: 0.1558954, 4: 0.5142219, 5: 0.3095109, 'label': 4}, 'hr & recruitment': {1: 0.014017304, 2: 0.020976426, 3: 0.19159949, 4: 0.48607442, 5: 0.28733236, 'label': 4}, 'work-life balance': {1: 0.0108313905, 2: 0.01885745, 3: 0.2201369, 4: 0.5113921, 5: 0.23878221, 'label': 4}}","{'perks & benefits': {1: 0.010937442, 2: 0.016521923, 3: 0.19091427, 4: 0.51228064, 5: 0.26934564, 'label': 4}, 'growth & learning': {1: 0.008635902, 2: 0.012884573, 3: 0.1630555, 4: 0.5146263, 5: 0.3007977, 'label': 4}, 'hr & recruitment': {1: 0.014981577, 2: 0.021664493, 3: 0.19810086, 4: 0.48426026, 5: 0.28099287, 'label': 4}, 'work-life balance': {1: 0.011739004, 2: 0.019867072, 3: 0.22704573, 4: 0.50811315, 5: 0.23323502, 'label': 4}}","{'perks & benefits': {1: 0.012689018, 2: 0.019287458, 3: 0.19852231, 4: 0.5018689, 5: 0.2676323, 'label': 4}, 'growth & learning': {1: 0.010189281, 2: 0.015415562, 3: 0.1718444, 4: 0.5027458, 5: 0.29980496, 'label': 4}, 'work-life balance': {1: 0.013694145, 2: 0.023645796, 3: 0.24167335, 4: 0.49581894, 5: 0.22516783, 'label': 4}}",{},{},{},{}
11913,Babcock International Group,"Competitive pay, decent perks and good flexibility offered.",Some slow movement and communication due to processes and large company size.,"Competitive pay, decent perks and good flexibility offered.",competitive pay decent perk and good flexibility offer,competitive pay decent perk good flexibility offer,competitive pay decent perk good flexibility offer,Some slow movement and communication due to processes and large company size.,some slow movement and communication due to process and large company size,slow movement communication process large company size,slow movement communication process large company size,"{'perks & benefits': {1: 0.0026765047, 2: 0.0046459036, 3: 0.08818568, 4: 0.5514885, 5: 0.35300335, 'label': 4}, 'pay': {1: 0.002732672, 2: 0.0047947196, 3: 0.0858216, 4: 0.5437655, 5: 0.36288553, 'label': 4}, 'work-life balance': {1: 0.0025993248, 2: 0.004906056, 3: 0.09979554, 4: 0.57661456, 5: 0.31608447, 'label': 4}}","{'pay': {1: 0.003363519, 2: 0.0065415287, 3: 0.11169386, 4: 0.55240595, 5: 0.32599515, 'label': 4}, 'work-life balance': {1: 0.0037176108, 2: 0.0075028073, 3: 0.1328351, 4: 0.5750595, 5: 0.28088495, 'label': 4}}","{'pay': {1: 0.004841168, 2: 0.010142993, 3: 0.15120852, 4: 0.5521029, 5: 0.28170443, 'label': 4}, 'work-life balance': {1: 0.004743357, 2: 0.010106644, 3: 0.16434363, 4: 0.5728182, 5: 0.2479881, 'label': 4}}","{'pay': {1: 0.004841168, 2: 0.010142993, 3: 0.15120852, 4: 0.5521029, 5: 0.28170443, 'label': 4}, 'work-life balance': {1: 0.004743357, 2: 0.010106644, 3: 0.16434363, 4: 0.5728182, 5: 0.2479881, 'label': 4}}","{'culture': {1: 0.23455788, 2: 0.44043866, 3: 0.2736238, 4: 0.043800835, 5: 0.007578809, 'label': 2}}","{'culture': {1: 0.23197627, 2: 0.42068255, 3: 0.28551134, 4: 0.052354377, 5: 0.009475477, 'label': 2}}","{'culture': {1: 0.3875151, 2: 0.3607112, 3: 0.17920318, 4: 0.052454177, 5: 0.020116426, 'label': 1}}","{'culture': {1: 0.3875151, 2: 0.3607112, 3: 0.17920318, 4: 0.052454177, 5: 0.020116426, 'label': 1}}"
78387,The British Army,"Good experiences, opportunities for subsidised adventure training.",Pay is low for work.,"Good experiences, opportunities for subsidised adventure training.",good experience opportunity for subsidise adventure training,good experience opportunity subsidise adventure training,good experience opportunity subsidise adventure train,Pay is low for work.,pay be low for work,pay low work,pay low work,"{'growth & learning': {1: 0.0028627645, 2: 0.0048507154, 3: 0.11435766, 4: 0.5699344, 5: 0.30799443, 'label': 4}, 'hr & recruitment': {1: 0.0033500849, 2: 0.0059546474, 3: 0.12926663, 4: 0.5733455, 5: 0.28808317, 'label': 4}}","{'growth & learning': {1: 0.004936502, 2: 0.00783687, 3: 0.14122728, 4: 0.56797796, 5: 0.2780214, 'label': 4}, 'hr & recruitment': {1: 0.006058211, 2: 0.009701975, 3: 0.15701658, 4: 0.56058747, 5: 0.2666358, 'label': 4}}","{'growth & learning': {1: 0.006017617, 2: 0.008289482, 3: 0.1345072, 4: 0.5327501, 5: 0.31843555, 'label': 4}, 'hr & recruitment': {1: 0.007161436, 2: 0.00985948, 3: 0.14629398, 4: 0.5248436, 5: 0.31184155, 'label': 4}}","{'growth & learning': {1: 0.007768359, 2: 0.010482084, 3: 0.13959758, 4: 0.5111448, 5: 0.33100712, 'label': 4}}","{'pay': {1: 0.5025546, 2: 0.32987985, 3: 0.13419092, 4: 0.024246735, 5: 0.009127902, 'label': 1}}","{'pay': {1: 0.49787357, 2: 0.2940204, 3: 0.15181777, 4: 0.039638523, 5: 0.016649783, 'label': 1}}","{'pay': {1: 0.60550755, 2: 0.26334095, 3: 0.099116825, 4: 0.020658806, 5: 0.011375899, 'label': 1}}","{'pay': {1: 0.60550755, 2: 0.26334095, 3: 0.099116825, 4: 0.020658806, 5: 0.011375899, 'label': 1}}"
61021,NHS,"Get exposure to all levels of the organisation, expected to progress quickly in career","Quality of scheme depends on placement location, little wellbeing support for trainees","Get exposure to all levels of the organisation, expected to progress quickly in career",get exposure to all level of the organisation expect to progress quickly in career,exposure level organisation expect progress quickly career,exposure level organisation expect progress quickly career,"Quality of scheme depends on placement location, little wellbeing support for trainees",quality of scheme depend on placement location little wellbee support for trainee,quality scheme depend placement location little wellbee support trainee,quality scheme depend placement location little wellbee support trainee,"{'growth & learning': {1: 0.0060482766, 2: 0.0109413965, 3: 0.12110674, 4: 0.51325727, 5: 0.34864637, 'label': 4}}","{'growth & learning': {1: 0.011338097, 2: 0.020683631, 3: 0.19736873, 4: 0.4928816, 5: 0.27772793, 'label': 4}}","{'growth & learning': {1: 0.012691547, 2: 0.025870146, 3: 0.23509109, 4: 0.49095815, 5: 0.23538902, 'label': 4}}","{'growth & learning': {1: 0.012691547, 2: 0.025870146, 3: 0.23509109, 4: 0.49095815, 5: 0.23538902, 'label': 4}}","{'office & location': {1: 0.21535502, 2: 0.43817642, 3: 0.28928748, 4: 0.049097024, 5: 0.008084076, 'label': 2}, 'tools & resources': {1: 0.22601976, 2: 0.4510875, 3: 0.26979613, 4: 0.045482486, 5: 0.0076140403, 'label': 2}}","{'office & location': {1: 0.18389554, 2: 0.3303555, 3: 0.34736517, 4: 0.1115936, 5: 0.026790243, 'label': 3}, 'tools & resources': {1: 0.21103045, 2: 0.3510821, 3: 0.31533718, 4: 0.09844619, 5: 0.024104016, 'label': 2}}","{'office & location': {1: 0.19272938, 2: 0.2920103, 3: 0.3372757, 4: 0.13568835, 5: 0.042296145, 'label': 3}, 'tools & resources': {1: 0.22835666, 2: 0.3079123, 3: 0.30437574, 4: 0.121168755, 5: 0.038186554, 'label': 2}}","{'office & location': {1: 0.19272938, 2: 0.2920103, 3: 0.3372757, 4: 0.13568835, 5: 0.042296145, 'label': 3}, 'tools & resources': {1: 0.22835666, 2: 0.3079123, 3: 0.30437574, 4: 0.121168755, 5: 0.038186554, 'label': 2}}"
87049,XPO Logistics,"Growing business
Exciting and fast paced
Plenty of opportunities to grow and progress and move around the business.
A large global business with a small family business feel.
A business that empowers it people to make a difference.","Cliché i know but I don't think there are any cons, i have never worked anywhere more than three years before I joined and I have been here nearly 10 years, I think that speaks for itself.",Growing business Exciting and fast paced Plenty of opportunities to grow and progress and move around the business. A large global business with a small family business feel. A business that empowers it people to make a difference.,grow business exciting and fast pace plenty of opportunity to grow and progress and move around the business a large global business with a small family business feel a business that empower it people to make a difference,grow business exciting fast pace plenty opportunity grow progress business large global business small family business feel business empower people difference,grow business exciting fast pace plenty opportunity grow progress business large global business small family business feel business empower people difference,"Clich i know but I don't think there are any cons, i have never worked anywhere more than three years before I joined and I have been here nearly 10 years, I think that speaks for itself.",cliché I know but I do not think there be any con I have never work anywhere more than three year before I join and I have be here nearly 10 year I think that speak for itself,cliché know think con work year join nearly 10 year think speak,cliché know think con work year join nearly year think speak,"{'culture': {1: 0.002365696, 2: 0.004404502, 3: 0.059790842, 4: 0.47999853, 5: 0.45344046, 'label': 4}, 'growth & learning': {1: 0.0018751683, 2: 0.0031664178, 3: 0.04973183, 4: 0.47512373, 5: 0.47010288, 'label': 4}, 'people': {1: 0.0020489376, 2: 0.0036542288, 3: 0.053975213, 4: 0.47054094, 5: 0.4697807, 'label': 4}, 'stress & pressure': {1: 0.0025925466, 2: 0.004680958, 3: 0.05209837, 4: 0.44918704, 5: 0.49144107, 'label': 5}}","{'culture': {1: 0.0035814948, 2: 0.0064876615, 3: 0.08374703, 4: 0.47500703, 5: 0.43117672, 'label': 4}, 'growth & learning': {1: 0.003014882, 2: 0.005062965, 3: 0.07409423, 4: 0.4811606, 5: 0.43666735, 'label': 4}, 'people': {1: 0.0031831292, 2: 0.005594214, 3: 0.078608826, 4: 0.47520444, 5: 0.4374094, 'label': 4}, 'stress & pressure': {1: 0.004115054, 2: 0.0071963663, 3: 0.07605649, 4: 0.4504053, 5: 0.46222678, 'label': 5}}","{'culture': {1: 0.006102004, 2: 0.010781263, 3: 0.13281606, 4: 0.49193838, 5: 0.3583623, 'label': 4}, 'growth & learning': {1: 0.0050406824, 2: 0.008241901, 3: 0.11900822, 4: 0.50934607, 5: 0.35836315, 'label': 4}, 'people': {1: 0.005679186, 2: 0.009920641, 3: 0.12984213, 4: 0.48851588, 5: 0.36604214, 'label': 4}, 'stress & pressure': {1: 0.00741133, 2: 0.012609339, 3: 0.1274807, 4: 0.47337455, 5: 0.37912405, 'label': 4}}","{'culture': {1: 0.006102004, 2: 0.010781263, 3: 0.13281606, 4: 0.49193838, 5: 0.3583623, 'label': 4}, 'growth & learning': {1: 0.0050406824, 2: 0.008241901, 3: 0.11900822, 4: 0.50934607, 5: 0.35836315, 'label': 4}, 'people': {1: 0.005679186, 2: 0.009920641, 3: 0.12984213, 4: 0.48851588, 5: 0.36604214, 'label': 4}, 'stress & pressure': {1: 0.00741133, 2: 0.012609339, 3: 0.1274807, 4: 0.47337455, 5: 0.37912405, 'label': 4}}","{'hr & recruitment': {1: 0.30423206, 2: 0.26844496, 3: 0.20391105, 4: 0.1288358, 5: 0.09457612, 'label': 1}}","{'hr & recruitment': {1: 0.5891451, 2: 0.28533205, 3: 0.09831396, 4: 0.019313503, 5: 0.007895348, 'label': 1}}",{},{}
41648,HM Prison Service,"Great staff, lots of support form co workers",Bad training old fashioned working conditions,"Great staff, lots of support form co workers",great staff lot of support form co worker,great staff lot support form co worker,great staff lot support form worker,Bad training old fashioned working conditions,bad training old fashioned working condition,bad training old fashioned working condition,bad train old fashion work condition,"{'hr & recruitment': {1: 0.0047278665, 2: 0.0069608423, 3: 0.07551325, 4: 0.45280087, 5: 0.45999718, 'label': 5}, 'tools & resources': {1: 0.0041638766, 2: 0.0064148465, 3: 0.073645726, 4: 0.46568483, 5: 0.45009068, 'label': 4}}","{'hr & recruitment': {1: 0.0056110234, 2: 0.008405963, 3: 0.097170606, 4: 0.4688812, 5: 0.41993117, 'label': 4}, 'tools & resources': {1: 0.005165728, 2: 0.008404573, 3: 0.10097801, 4: 0.4890678, 5: 0.39638388, 'label': 4}}","{'hr & recruitment': {1: 0.0049128053, 2: 0.0071409964, 3: 0.08681351, 4: 0.4637766, 5: 0.4373561, 'label': 4}, 'tools & resources': {1: 0.0047841966, 2: 0.0073493808, 3: 0.09145943, 4: 0.48304945, 5: 0.41335747, 'label': 4}}","{'hr & recruitment': {1: 0.0052607125, 2: 0.0075605838, 3: 0.08643712, 4: 0.45471117, 5: 0.4460304, 'label': 4}, 'tools & resources': {1: 0.0050782445, 2: 0.0078021656, 3: 0.09282614, 4: 0.4784936, 5: 0.41579986, 'label': 4}}","{'hr & recruitment': {1: 0.60559744, 2: 0.2931295, 3: 0.08135091, 4: 0.014160022, 5: 0.005762048, 'label': 1}, 'pay': {1: 0.6664026, 2: 0.24790263, 3: 0.06862557, 4: 0.011908427, 5: 0.0051607345, 'label': 1}}","{'hr & recruitment': {1: 0.6034956, 2: 0.2864421, 3: 0.088213086, 4: 0.015559349, 5: 0.0062899385, 'label': 1}}","{'hr & recruitment': {1: 0.6034956, 2: 0.2864421, 3: 0.088213086, 4: 0.015559349, 5: 0.0062899385, 'label': 1}}",{}
52925,KPMG,"Free lunch, young colleagues, big name","Bad press, management not close to new technology","Free lunch, young colleagues, big name",free lunch young colleague big name,free lunch young colleague big,free lunch young colleague big,"Bad press, management not close to new technology",bad press management not close to new technology,bad press management close new technology,bad press management close new technology,"{'perks & benefits': {1: 0.011079022, 2: 0.014610075, 3: 0.15529484, 4: 0.49948376, 5: 0.31953236, 'label': 4}, 'people': {1: 0.01502099, 2: 0.01867284, 3: 0.17048219, 4: 0.47477174, 5: 0.32105228, 'label': 4}}","{'perks & benefits': {1: 0.012397709, 2: 0.014989252, 3: 0.1498722, 4: 0.4742773, 5: 0.34846357, 'label': 4}}","{'perks & benefits': {1: 0.012395822, 2: 0.016782409, 3: 0.17782217, 4: 0.49856716, 5: 0.2944324, 'label': 4}}","{'perks & benefits': {1: 0.012395822, 2: 0.016782409, 3: 0.17782217, 4: 0.49856716, 5: 0.2944324, 'label': 4}}","{'management': {1: 0.65679294, 2: 0.25115198, 3: 0.07467979, 4: 0.012452431, 5: 0.004922845, 'label': 1}, 'tools & resources': {1: 0.6139071, 2: 0.28279987, 3: 0.08301405, 4: 0.01478025, 5: 0.00549866, 'label': 1}}","{'management': {1: 0.66887414, 2: 0.25298202, 3: 0.065719925, 4: 0.009040403, 5: 0.0033835361, 'label': 1}, 'tools & resources': {1: 0.61332726, 2: 0.28449562, 3: 0.082146175, 4: 0.014558092, 5: 0.005472835, 'label': 1}}","{'management': {1: 0.64396155, 2: 0.23297, 3: 0.084516846, 4: 0.024215957, 5: 0.014335697, 'label': 1}, 'tools & resources': {1: 0.56101286, 2: 0.26614976, 3: 0.109018646, 4: 0.04012262, 5: 0.023696043, 'label': 1}}","{'management': {1: 0.64396155, 2: 0.23297, 3: 0.084516846, 4: 0.024215957, 5: 0.014335697, 'label': 1}, 'tools & resources': {1: 0.56101286, 2: 0.26614976, 3: 0.109018646, 4: 0.04012262, 5: 0.023696043, 'label': 1}}"
24414,Co op,Absolutely zero pros at all.,"Management, upper management, no support, lied to and misled all day, advisors are treated incredibly poorly.",Absolutely zero pros at all.,absolutely zero pro at all,absolutely zero pro,absolutely pro,"Management, upper management, no support, lied to and misled all day, advisors are treated incredibly poorly.",management upper management no support lie to and mislead all day advisor be treat incredibly poorly,management upper management support lie mislead day advisor treat incredibly poorly,management upper management support lie mislead day advisor treat incredibly poorly,{},{},{},{},"{'management': {1: 0.817792, 2: 0.16548634, 3: 0.014660826, 4: 0.001294331, 5: 0.00076647603, 'label': 1}, 'tools & resources': {1: 0.7921131, 2: 0.18952945, 3: 0.016193744, 4: 0.0013866366, 5: 0.0007770015, 'label': 1}}","{'management': {1: 0.76251435, 2: 0.19509247, 3: 0.035762552, 4: 0.0043563093, 5: 0.0022742827, 'label': 1}, 'tools & resources': {1: 0.7426717, 2: 0.21254633, 3: 0.037830606, 4: 0.0046699597, 5: 0.002281383, 'label': 1}}","{'management': {1: 0.71486425, 2: 0.22831511, 3: 0.049515, 4: 0.005166149, 5: 0.002139608, 'label': 1}, 'tools & resources': {1: 0.6948369, 2: 0.24504803, 3: 0.052028395, 4: 0.00578949, 5: 0.002297199, 'label': 1}}","{'management': {1: 0.71486425, 2: 0.22831511, 3: 0.049515, 4: 0.005166149, 5: 0.002139608, 'label': 1}, 'tools & resources': {1: 0.6948369, 2: 0.24504803, 3: 0.052028395, 4: 0.00578949, 5: 0.002297199, 'label': 1}}"
9719,BP,"Work with some great people, generally management approachable and there is a sense of achievement. Great benefits","Can be a little political, some egos getting in the way and some poor performers getting away with it","Work with some great people, generally management approachable and there is a sense of achievement. Great benefits",work with some great people generally management approachable and there be a sense of achievement great benefit,work great people generally management approachable sense achievement great benefit,work great people generally management approachable sense achievement great benefit,"Can be a little political, some egos getting in the way and some poor performers getting away with it",can be a little political some ego get in the way and some poor performer get away with it,little political ego get way poor performer get away,little political ego get way poor performer get away,"{'perks & benefits': {1: 0.0047031213, 2: 0.009576518, 3: 0.12754901, 4: 0.5313778, 5: 0.32679358, 'label': 4}, 'management': {1: 0.004487114, 2: 0.008370072, 3: 0.102605306, 4: 0.5072717, 5: 0.3772658, 'label': 4}, 'people': {1: 0.004209456, 2: 0.0077809547, 3: 0.09593997, 4: 0.5003327, 5: 0.39173695, 'label': 4}}","{'perks & benefits': {1: 0.009894938, 2: 0.02245289, 3: 0.24704565, 4: 0.51693743, 5: 0.20366906, 'label': 4}, 'management': {1: 0.01231044, 2: 0.026342228, 3: 0.25157455, 4: 0.4948187, 5: 0.21495418, 'label': 4}, 'people': {1: 0.011322311, 2: 0.025800604, 3: 0.25649264, 4: 0.49900717, 5: 0.20737728, 'label': 4}}","{'perks & benefits': {1: 0.0057887607, 2: 0.009159161, 3: 0.11999357, 4: 0.49764395, 5: 0.36741456, 'label': 4}, 'management': {1: 0.005653433, 2: 0.0082370555, 3: 0.10059846, 4: 0.46640715, 5: 0.41910392, 'label': 4}, 'people': {1: 0.005682005, 2: 0.0082654515, 3: 0.10145772, 4: 0.4624974, 5: 0.42209738, 'label': 4}}","{'perks & benefits': {1: 0.0057887607, 2: 0.009159161, 3: 0.11999357, 4: 0.49764395, 5: 0.36741456, 'label': 4}, 'management': {1: 0.005653433, 2: 0.0082370555, 3: 0.10059846, 4: 0.46640715, 5: 0.41910392, 'label': 4}, 'people': {1: 0.005682005, 2: 0.0082654515, 3: 0.10145772, 4: 0.4624974, 5: 0.42209738, 'label': 4}}",{},{},{},{}
56845,Manpower,Some genuinely talented people in the company - Nice people,Generalist - they will eventually sink with out a major specialism and they described themselves as the TITANIC in their own words... Massive sinking ship,Some genuinely talented people in the company - Nice people,some genuinely talented people in the company nice people,genuinely talented people company nice people,genuinely talente people company nice people,Generalist - they will eventually sink with out a major specialism and they described themselves as the TITANIC in their own words... Massive sinking ship,generalist they will eventually sink with out a major specialism and they describe themselves as the titanic in their own word massive sinking ship,generalist eventually sink major specialism describe titanic word massive sinking ship,generalist eventually sink major specialism describe titanic word massive sink ship,"{'hr & recruitment': {1: 0.029126827, 2: 0.04543777, 3: 0.25720537, 4: 0.44504184, 5: 0.22318819, 'label': 4}, 'people': {1: 0.034927078, 2: 0.05419954, 3: 0.2998308, 4: 0.41897258, 5: 0.19207002, 'label': 4}}","{'hr & recruitment': {1: 0.02511859, 2: 0.03868591, 3: 0.23748957, 4: 0.4448967, 5: 0.25380927, 'label': 4}, 'people': {1: 0.029093323, 2: 0.044349924, 3: 0.27649638, 4: 0.4282769, 5: 0.22178346, 'label': 4}}","{'hr & recruitment': {1: 0.007756384, 2: 0.008190352, 3: 0.0639714, 4: 0.345311, 5: 0.57477087, 'label': 5}, 'people': {1: 0.01071604, 2: 0.011582846, 3: 0.08231874, 4: 0.36002195, 5: 0.5353604, 'label': 5}}","{'hr & recruitment': {1: 0.009502143, 2: 0.010278674, 3: 0.07395064, 4: 0.3512414, 5: 0.5550271, 'label': 5}, 'people': {1: 0.012834928, 2: 0.01428385, 3: 0.09489061, 4: 0.36764833, 5: 0.51034224, 'label': 5}}",{},{},{},{}
79053,The Ivy Collection,Well structured and the rules sre fair,Low salary for the effort that you put,Well structured and the rules sre fair,well structure and the rule sre fair,structure rule sre fair,structure rule sre fair,Low salary for the effort that you put,low salary for the effort that you put,low salary effort,low salary effort,"{'management': {1: 0.0052192076, 2: 0.010205652, 3: 0.11508953, 4: 0.49818462, 5: 0.37130105, 'label': 4}}","{'management': {1: 0.012142194, 2: 0.02442637, 3: 0.19816962, 4: 0.4820157, 5: 0.2832461, 'label': 4}}","{'management': {1: 0.032375287, 2: 0.05817147, 3: 0.2954717, 4: 0.41541386, 5: 0.19856764, 'label': 4}}","{'management': {1: 0.032375287, 2: 0.05817147, 3: 0.2954717, 4: 0.41541386, 5: 0.19856764, 'label': 4}}","{'pay': {1: 0.50596505, 2: 0.34500787, 3: 0.12257353, 4: 0.019999094, 5: 0.006454509, 'label': 1}}","{'pay': {1: 0.50596505, 2: 0.34500787, 3: 0.12257353, 4: 0.019999094, 5: 0.006454509, 'label': 1}}","{'pay': {1: 0.52049387, 2: 0.33126262, 3: 0.12017047, 4: 0.02060129, 5: 0.0074717104, 'label': 1}}","{'pay': {1: 0.52049387, 2: 0.33126262, 3: 0.12017047, 4: 0.02060129, 5: 0.0074717104, 'label': 1}}"
